Timestamp,Event,Value,Predicted_Crash
2026-08-15 14:09:02,Live Multiplier,21.85,
2026-08-15 14:09:02,Live Multiplier,21.85,
2026-08-15 14:09:02,Live Multiplier,21.85,
2026-08-15 14:09:02,Live Multiplier,22.05,
2026-08-15 14:09:02,Live Multiplier,22.05,
2026-08-15 14:09:02,Live Multiplier,22.05,
2026-08-15 14:09:02,Live Multiplier,22.24,
2026-08-15 14:09:02,Live Multiplier,22.24,
2026-08-15 14:09:02,Live Multiplier,22.24,
2026-08-15 14:09:02,Live Multiplier,22.43,
2026-08-15 14:09:02,Live Multiplier,22.43,
2026-08-15 14:09:02,Live Multiplier,22.43,
2026-08-15 14:09:03,Live Multiplier,22.63,
2026-08-15 14:09:03,Live Multiplier,22.63,
2026-08-15 14:09:03,Live Multiplier,22.63,
2026-08-15 14:09:03,Live Multiplier,22.82,
2026-08-15 14:09:03,Live Multiplier,22.82,
2026-08-15 14:09:03,Live Multiplier,22.82,
2026-08-15 14:09:03,Live Multiplier,23.02,
2026-08-15 14:09:03,Live Multiplier,23.02,
2026-08-15 14:09:03,Live Multiplier,23.02,
2026-08-15 14:09:03,Live Multiplier,23.22,
2026-08-15 14:09:03,Live Multiplier,23.22,
2026-08-15 14:09:03,Live Multiplier,23.22,
2026-08-15 14:09:03,Live Multiplier,23.42,
2026-08-15 14:09:03,Live Multiplier,23.42,
2026-08-15 14:09:03,Live Multiplier,23.42,
2026-08-15 14:09:03,Live Multiplier,23.63,
2026-08-15 14:09:03,Live Multiplier,23.63,
2026-08-15 14:09:03,Live Multiplier,23.63,
2026-08-15 14:09:03,Live Multiplier,23.83,
2026-08-15 14:09:03,Live Multiplier,23.83,
2026-08-15 14:09:03,Live Multiplier,23.83,
2026-08-15 14:09:03,Live Multiplier,24.2,
2026-08-15 14:09:03,Live Multiplier,24.2,
2026-08-15 14:09:03,Live Multiplier,24.2,
2026-08-15 14:09:03,Live Multiplier,24.25,
2026-08-15 14:09:03,Live Multiplier,24.25,
2026-08-15 14:09:03,Live Multiplier,24.25,
2026-08-15 14:09:03,Live Multiplier,24.46,
2026-08-15 14:09:03,Live Multiplier,24.46,
